,Date,Day,counts,type,country
524,10/18/2014,210,,Cases,Senegal
525,10/14/2014,206,1.0,Cases,Senegal
526,10/13/2014,205,,Cases,Senegal
527,10/12/2014,204,1.0,Cases,Senegal
528,10/11/2014,203,,Cases,Senegal
529,10/8/2014,200,1.0,Cases,Senegal
530,10/7/2014,199,,Cases,Senegal
531,10/5/2014,197,1.0,Cases,Senegal
532,10/4/2014,196,,Cases,Senegal
533,10/1/2014,193,1.0,Cases,Senegal
534,9/28/2014,190,1.0,Cases,Senegal
535,9/23/2014,185,1.0,Cases,Senegal
536,9/21/2014,183,1.0,Cases,Senegal
537,9/20/2014,182,,Cases,Senegal
538,9/19/2014,181,,Cases,Senegal
539,9/17/2014,179,,Cases,Senegal
540,9/14/2014,176,,Cases,Senegal
541,9/13/2014,175,1.0,Cases,Senegal
542,9/10/2014,172,1.0,Cases,Senegal
543,9/9/2014,171,,Cases,Senegal
544,9/7/2014,169,3.0,Cases,Senegal
545,9/5/2014,167,1.0,Cases,Senegal
546,8/31/2014,162,1.0,Cases,Senegal
547,8/26/2014,157,,Cases,Senegal
548,8/20/2014,151,,Cases,Senegal
549,8/18/2014,149,,Cases,Senegal
550,8/16/2014,147,,Cases,Senegal
551,8/13/2014,144,,Cases,Senegal
552,8/11/2014,142,,Cases,Senegal
553,8/9/2014,140,,Cases,Senegal
554,8/6/2014,137,,Cases,Senegal
555,8/4/2014,135,,Cases,Senegal
556,8/1/2014,132,,Cases,Senegal
557,7/30/2014,129,,Cases,Senegal
558,7/27/2014,126,,Cases,Senegal
559,7/23/2014,123,,Cases,Senegal
560,7/20/2014,120,,Cases,Senegal
561,7/17/2014,117,,Cases,Senegal
562,7/14/2014,114,,Cases,Senegal
563,7/12/2014,112,,Cases,Senegal
564,7/8/2014,108,,Cases,Senegal
565,7/6/2014,106,,Cases,Senegal
566,7/2/2014,102,,Cases,Senegal
567,6/30/2014,100,,Cases,Senegal
568,6/22/2014,92,,Cases,Senegal
569,6/20/2014,90,,Cases,Senegal
570,6/19/2014,89,,Cases,Senegal
571,6/18/2014,88,,Cases,Senegal
572,6/17/2014,87,,Cases,Senegal
573,6/16/2014,86,,Cases,Senegal
574,6/10/2014,80,,Cases,Senegal
575,6/5/2014,75,,Cases,Senegal
576,6/3/2014,73,,Cases,Senegal
577,6/1/2014,71,,Cases,Senegal
578,5/28/2014,67,,Cases,Senegal
579,5/27/2014,66,,Cases,Senegal
580,5/23/2014,62,,Cases,Senegal
581,5/12/2014,51,,Cases,Senegal
582,5/10/2014,49,,Cases,Senegal
583,5/7/2014,46,,Cases,Senegal
584,5/5/2014,44,,Cases,Senegal
585,5/3/2014,42,,Cases,Senegal
586,5/1/2014,40,,Cases,Senegal
587,4/26/2014,35,,Cases,Senegal
588,4/24/2014,33,,Cases,Senegal
589,4/23/2014,32,,Cases,Senegal
590,4/22/2014,31,,Cases,Senegal
591,4/21/2014,30,,Cases,Senegal
592,4/20/2014,29,,Cases,Senegal
593,4/17/2014,26,,Cases,Senegal
